,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
489,Veritas,3.171908236413544,0.09373890318918927,9.27821833564626,178.3258569897813,193.9424721748358,2.874577037315383,3.469239435511706,5.64922827629783,42716,0,2790,8.32,N,N,118.803,,0.059,7.93,,0.75,0.39,,Ch,C,,1.87431,MBA,0.174470960485505,2063.380627917782,206.162209477589
490,Carina,3.189496346718981,0.08724021349436352,18.86353742806057,175.4090127557537,232.9692874665972,2.911244004491724,3.467748688946237,5.69628048498553,42618,0,2650,9,N,N,91.176,,0.037,15.153,,,,,C,,,1.95286,MBA,0.1730298018093574,2080.566447140965,108.8964749754453
491,Gismonda,3.114706898176413,0.1781357259755917,1.61839025529479,46.21416501007066,296.6470366241477,2.559866323668574,3.669547472684252,5.49710432704014,42791,0,3010,10,N,N,53.418,,0.069,6.488,,,,,,,,1.5516,MBA,0.1792991772994524,2007.81735545141,86.94438056234802
492,Griseldis,3.117890204797282,0.1757269256583612,15.17349028320202,357.3525241134242,46.98302670963987,2.569992944567937,3.665787465026626,5.50553374247355,42786,0,2116,10.8,N,N,41.550,,0.081,51.94,,,,,,,,1.60188,MBA,0.1790246558228757,2010.896199438465,12.54186112981079
493,Virtus,2.986421418141444,0.06460148081636216,7.084995474823764,38.21260841694365,217.7224888285327,2.793494172187806,3.179348664095081,5.16101165340459,42686,0,3077,8.96,N,N,100.786,,0.065,5.57,,0.728,0.373,,Ch,C,,1.78295,MBA,0.1909754035756465,1885.059506406026,334.7746172885587
494,Eulalia,2.488383160942116,0.1284819707509663,2.27819362099618,186.4287494970376,207.5073795154253,2.168670788440755,2.808095533443479,3.9254014895346,42739,0,2707,10.78,N,N,37.287,,0.062,28.967,,0.69,0.16,,,,,1.17452,MBA,0.2510892926482311,1433.752894052514,256.1194704155047
495,Gryphia,2.198598379411602,0.07948620700857711,3.791421650171878,207.5932662983432,259.0049539198303,2.023840133496969,2.373356625326235,3.26007099256887,42736,0,2768,11.61,N,N,14.403,,0.193,1072,,0.861,0.507,,S,S,,1.04487,MBA,0.3023327668674184,1190.740930035779,209.097253155923
496,Iva,2.851460865290914,0.3003350029057925,4.819987652186493,6.314226793187354,3.567704750871954,1.995067358028014,3.707854372553815,4.81514451023633,42558,0,2508,10.02,N,N,40.932,,0.119,4.62,,0.696,0.245,,,M,0.11,0.9939,MBA,0.2046929809213932,1758.73153236382,86.92559107188504
497,Tokio,2.652015769783147,0.2225170002197596,9.496748490051512,97.21218850478314,241.7565927212668,2.061897176155504,3.24213436341079,4.31889211467431,42234,0,3815,8.95,N,N,81.83,,0.0694,41.85,,0.78,0.375,,,M,,1.07129,MBA,0.2282127585495112,1577.475344884792,46.25453568564524
498,Venusia,4.006096753201115,0.2157425011782065,2.092633549231999,256.2444197037455,174.8184050686057,3.141811419703615,4.870382086698616,8.01844866556135,42677,0,2612,9.39,N,N,77.328,,0.052,13.48,,0.663,0.291,,,P,,2.15619,OMB,0.1229198220848814,2928.738375096285,272.317342231097
499,Selinur,2.614578027311794,0.1441650663740474,9.777919919537844,289.8315045976262,74.52942172993056,2.237647212464263,2.991508842159325,4.22776279810755,42657,0,2304,9.3,N,N,40.828,,0.202,8.0111,,,,,,,,1.25749,MBA,0.2331318785927976,1544.190362008784,276.5264550333439
500,Urhixidur,3.162603040171231,0.1409631042678583,20.83678729535624,357.2577594376431,356.0283842098779,2.716792698061728,3.608413382280734,5.62438742255122,42654,0,3081,9.3,N,N,74.457,,0.052,13.1743,,,,,,,,1.71164,MBA,0.1752415346452923,2054.307506086834,15.15398831634393
501,Sigune,2.381712599880571,0.1799653493752544,25.03522787171656,132.9658521753301,19.14645261337737,1.953086859731619,2.810338340029524,3.67571841063656,42654,0,2087,10.77,N,N,15.805,,0.178,10.922,,0.87,0.495,,,S,,0.975649,MBA,0.2681452095229642,1342.556149485002,179.5453991995204
502,Evelyn,2.723148002778871,0.176337203520636,5.010391642855241,68.89894628534618,41.83353093035844,2.24295569919604,3.203340306361702,4.49381377351458,42654,0,2866,9.3,N,N,81.68,,0.0585,38.78,,0.725,0.315,,Ch,XC,,1.26281,MBA,0.219329579070809,1641.3654807762,317.8339776164856
